"","TIME_PERIOD","Global_CC_Cl_repro","Global_CC_Fg_repro","Avg_CC_Cl_repro","Avg_CC_Fg_repro","assortcoef_repro.outout","assortcoef_repro.outin","assortcoef_repro.inout","assortcoef_repro.inin","assortcoef_repro.outout.1","assortcoef_repro.outin.1","assortcoef_repro.inout.1","assortcoef_repro.inin.1","assortcoef_repro.outout.2","assortcoef_repro.outin.2","assortcoef_repro.inout.2","assortcoef_repro.inin.2","assortcoef_repro.outout.3","assortcoef_repro.outin.3","assortcoef_repro.inout.3","assortcoef_repro.inin.3","assortcoef_repro.outout.4","assortcoef_repro.outin.4","assortcoef_repro.inout.4","assortcoef_repro.inin.4","assortcoef_repro.outout.5","assortcoef_repro.outin.5","assortcoef_repro.inout.5","assortcoef_repro.inin.5","assortcoef_repro.outout.6","assortcoef_repro.outin.6","assortcoef_repro.inout.6","assortcoef_repro.inin.6","assortcoef_repro.outout.7","assortcoef_repro.outin.7","assortcoef_repro.inout.7","assortcoef_repro.inin.7","assortcoef_repro.outout.8","assortcoef_repro.outin.8","assortcoef_repro.inout.8","assortcoef_repro.inin.8","assortcoef_repro.outout.9","assortcoef_repro.outin.9","assortcoef_repro.inout.9","assortcoef_repro.inin.9","assortcoef_repro.outout.10","assortcoef_repro.outin.10","assortcoef_repro.inout.10","assortcoef_repro.inin.10","assortcoef_repro.outout.11","assortcoef_repro.outin.11","assortcoef_repro.inout.11","assortcoef_repro.inin.11","assortcoef_repro.outout.12","assortcoef_repro.outin.12","assortcoef_repro.inout.12","assortcoef_repro.inin.12","assortcoef_repro.outout.13","assortcoef_repro.outin.13","assortcoef_repro.inout.13","assortcoef_repro.inin.13","assortcoef_repro.outout.14","assortcoef_repro.outin.14","assortcoef_repro.inout.14","assortcoef_repro.inin.14","assortcoef_repro.outout.15","assortcoef_repro.outin.15","assortcoef_repro.inout.15","assortcoef_repro.inin.15","assortcoef_repro.outout.16","assortcoef_repro.outin.16","assortcoef_repro.inout.16","assortcoef_repro.inin.16","assortcoef_repro.outout.17","assortcoef_repro.outin.17","assortcoef_repro.inout.17","assortcoef_repro.inin.17","assortcoef_repro.outout.18","assortcoef_repro.outin.18","assortcoef_repro.inout.18","assortcoef_repro.inin.18","assortcoef_repro.outout.19","assortcoef_repro.outin.19","assortcoef_repro.inout.19","assortcoef_repro.inin.19","assortcoef_repro.outout.20","assortcoef_repro.outin.20","assortcoef_repro.inout.20","assortcoef_repro.inin.20","assortcoef_repro.outout.21","assortcoef_repro.outin.21","assortcoef_repro.inout.21","assortcoef_repro.inin.21","assortcoef_repro.outout.22","assortcoef_repro.outin.22","assortcoef_repro.inout.22","assortcoef_repro.inin.22","assortcoef_repro.outout.23","assortcoef_repro.outin.23","assortcoef_repro.inout.23","assortcoef_repro.inin.23"
"11",2010,0.951705792786034,0.888051404324235,0.951705792786034,0.888051404324235,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"12",2011,0.954134392476183,0.885868133806623,0.954134392476183,0.885868133806623,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"13",2012,0.955956635288242,0.889015864346061,0.955956635288242,0.889015864346061,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"14",2013,0.955371739243744,0.890723014945141,0.955371739243744,0.890723014945141,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"15",2014,0.956198636632163,0.891597736610157,0.956198636632163,0.891597736610157,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"16",2015,0.958784143118195,0.895445617133765,0.958784143118195,0.895445617133765,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"17",2016,0.960795042634027,0.898999193868746,0.960795042634027,0.898999193868746,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"18",2017,0.961325430481257,0.902118396539985,0.961325430481257,0.902118396539985,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"19",2018,0.961749935376038,0.90581658184491,0.961749935376038,0.90581658184491,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"20",2019,0.962557162871518,0.908041410712122,0.962557162871518,0.908041410712122,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"21",2020,0.960418527261862,0.904856716989997,0.960418527261862,0.904856716989997,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"22",2021,0.963020348395383,0.907879760641606,0.963020348395383,0.904856716989997,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
"23",2022,0.963049065587572,0.912098953823562,0.963049065587572,0.912098953823562,-0.0930365331738217,-0.110153900525675,-0.150232448664736,-0.176873710954787,-0.100078500174425,-0.112125170033391,-0.147893611946899,-0.165587031477926,-0.0522568690692162,-0.0724085214619019,-0.128146678380194,-0.155050523696539,-0.0143671259252054,-0.0420311233342088,-0.113592514804576,-0.146270504873826,0.0287106664308542,0.00471514389424896,-0.0908822562585281,-0.123487122480179,0.0340128982603103,0.0367156761281303,-0.0813657289888619,-0.106286424337878,0.0136815199993669,0.0482871913058291,-0.0719024107380609,-0.0859893981719027,-0.0208934784664238,0.0462273470545842,-0.0871032521989425,-0.0809282422693028,-0.0331904138174968,0.037639232859991,-0.0794397725273503,-0.0724510004742689,-0.043658141265929,0.0365726398290203,-0.0843161984110099,-0.0592730878697566,-0.0660459351196216,0.0152804261254376,-0.0963377736710976,-0.0613519701434687,-0.0891769753718731,-0.000819232851715181,-0.111211611293048,-0.0673939896851969,-0.101822798355637,0.00753642292760709,-0.112600212645549,-0.0537008995332644,-0.119572667597832,-0.00705173405334869,-0.115917417448206,-0.0506719790222964,-0.133331252347532,-0.00928575278519564,-0.12583527798537,-0.0549753601266144,-0.150376756004625,-0.0106898530105386,-0.141082547741335,-0.0631473109555131,-0.151327003650071,-0.0157873785300091,-0.150899848384153,-0.07494749439431,-0.15811022537363,-0.024573578682745,-0.169424407501592,-0.08042117013302,-0.159071606863433,-0.0378881137131293,-0.181225327382794,-0.0901095511882119,-0.176732213364545,-0.0767385620010504,-0.179193294151538,-0.113241134653299,-0.191411567365321,-0.109226323301387,-0.193733806069421,-0.142645217919528,-0.200388029852399,-0.106551517035193,-0.196705594584412,-0.13793302695484,-0.198832499509158,-0.103498095806985,-0.192576583649858,-0.140904233614075,-0.198807415706041,-0.100786978648878,-0.176519623848704,-0.139649098475126
