"","TIME_PERIOD","Global_CC_Cl_unique","Global_CC_Fg_unique","Avg_CC_Cl_unique","Avg_CC_Fg_unique","assortcoef_unique.outout","assortcoef_unique.outin","assortcoef_unique.inout","assortcoef_unique.inin","assortcoef_unique.outout.1","assortcoef_unique.outin.1","assortcoef_unique.inout.1","assortcoef_unique.inin.1","assortcoef_unique.outout.2","assortcoef_unique.outin.2","assortcoef_unique.inout.2","assortcoef_unique.inin.2","assortcoef_unique.outout.3","assortcoef_unique.outin.3","assortcoef_unique.inout.3","assortcoef_unique.inin.3","assortcoef_unique.outout.4","assortcoef_unique.outin.4","assortcoef_unique.inout.4","assortcoef_unique.inin.4","assortcoef_unique.outout.5","assortcoef_unique.outin.5","assortcoef_unique.inout.5","assortcoef_unique.inin.5","assortcoef_unique.outout.6","assortcoef_unique.outin.6","assortcoef_unique.inout.6","assortcoef_unique.inin.6","assortcoef_unique.outout.7","assortcoef_unique.outin.7","assortcoef_unique.inout.7","assortcoef_unique.inin.7","assortcoef_unique.outout.8","assortcoef_unique.outin.8","assortcoef_unique.inout.8","assortcoef_unique.inin.8","assortcoef_unique.outout.9","assortcoef_unique.outin.9","assortcoef_unique.inout.9","assortcoef_unique.inin.9","assortcoef_unique.outout.10","assortcoef_unique.outin.10","assortcoef_unique.inout.10","assortcoef_unique.inin.10","assortcoef_unique.outout.11","assortcoef_unique.outin.11","assortcoef_unique.inout.11","assortcoef_unique.inin.11","assortcoef_unique.outout.12","assortcoef_unique.outin.12","assortcoef_unique.inout.12","assortcoef_unique.inin.12","assortcoef_unique.outout.13","assortcoef_unique.outin.13","assortcoef_unique.inout.13","assortcoef_unique.inin.13","assortcoef_unique.outout.14","assortcoef_unique.outin.14","assortcoef_unique.inout.14","assortcoef_unique.inin.14","assortcoef_unique.outout.15","assortcoef_unique.outin.15","assortcoef_unique.inout.15","assortcoef_unique.inin.15","assortcoef_unique.outout.16","assortcoef_unique.outin.16","assortcoef_unique.inout.16","assortcoef_unique.inin.16","assortcoef_unique.outout.17","assortcoef_unique.outin.17","assortcoef_unique.inout.17","assortcoef_unique.inin.17","assortcoef_unique.outout.18","assortcoef_unique.outin.18","assortcoef_unique.inout.18","assortcoef_unique.inin.18","assortcoef_unique.outout.19","assortcoef_unique.outin.19","assortcoef_unique.inout.19","assortcoef_unique.inin.19","assortcoef_unique.outout.20","assortcoef_unique.outin.20","assortcoef_unique.inout.20","assortcoef_unique.inin.20","assortcoef_unique.outout.21","assortcoef_unique.outin.21","assortcoef_unique.inout.21","assortcoef_unique.inin.21","assortcoef_unique.outout.22","assortcoef_unique.outin.22","assortcoef_unique.inout.22","assortcoef_unique.inin.22","assortcoef_unique.outout.23","assortcoef_unique.outin.23","assortcoef_unique.inout.23","assortcoef_unique.inin.23"
"11",2010,0.878451733921216,0.833853315786448,0.878451733921216,0.833853315786448,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"12",2011,0.888069836732432,0.850331451627114,0.888069836732432,0.850331451627114,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"13",2012,0.892851099423688,0.874804942564609,0.892851099423688,0.874804942564609,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"14",2013,0.890469135620407,0.879627329467653,0.890469135620407,0.879627329467653,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"15",2014,0.906902508417875,0.890031473136975,0.906902508417875,0.890031473136975,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"16",2015,0.898844792409192,0.882402296624823,0.898844792409192,0.882402296624823,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"17",2016,0.903724031875479,0.88666200899033,0.903724031875479,0.88666200899033,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"18",2017,0.904138382722665,0.85777102669519,0.904138382722665,0.85777102669519,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"19",2018,0.918621473845303,0.902376499099904,0.918621473845303,0.902376499099904,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"20",2019,0.913471202698367,0.899400435274904,0.913471202698367,0.899400435274904,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"21",2020,0.901166378178821,0.888227852290542,0.901166378178821,0.888227852290542,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"22",2021,0.920031746306626,0.914090951493242,0.920031746306626,0.888227852290542,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
"23",2022,0.91518159832533,0.911454745933681,0.91518159832533,0.911454745933681,-0.0786665744275715,-0.114984835812724,-0.268465509724981,-0.490181073913847,-0.259063304221132,-0.292035545653148,-0.435826717628815,-0.531875474610013,-0.0866174997940039,-0.0698219685571245,-0.181790603681022,-0.459386494889522,0.0247584714408001,0.0746707959864766,-0.0753018912737232,-0.40143384739256,-0.0439172194004562,-0.0912173091599974,-0.151972502480192,-0.36768199608909,-0.0588625447294553,-0.0800876881723924,-0.164418021316499,-0.365575975415137,-0.175640506012659,-0.205265786092936,-0.26946745112413,-0.36601041879332,-0.19615094123703,-0.23516001171909,-0.273430619484124,-0.356511114845371,-0.24980082254739,-0.24852688021315,-0.261189848709097,-0.262812127747794,-0.309719668866216,-0.254674687436236,-0.321242364215553,-0.276367057352551,-0.237564633257204,-0.215374456935591,-0.27416344698843,-0.272223843729929,-0.24001820621955,-0.199957894129853,-0.250155358949753,-0.217675303958008,-0.171083010838946,-0.171784749806715,-0.192011509786844,-0.240900504134107,-0.151368514971478,-0.162482339799604,-0.215364742117434,-0.297568853064164,-0.263821949011023,-0.266137998186331,-0.316639291217395,-0.347408562745473,-0.249719572533509,-0.251151195354237,-0.354747490057965,-0.415680844195993,-0.288304733945483,-0.299161767851977,-0.361910322757525,-0.409287330240814,-0.33122461172956,-0.368003169907395,-0.38086742217959,-0.442142664182987,-0.349081619579865,-0.366000793185496,-0.404821458500209,-0.439469638443461,-0.146491465428292,-0.179884509287031,-0.280080741478986,-0.433971946558005,-0.302849687128145,-0.291351473518266,-0.326443633597149,-0.320543541713186,-0.229108933829856,-0.249748203921585,-0.280680403958977,-0.317292705846882,-0.247998403942442,-0.28965425006322,-0.317762687859476,-0.36579555766556,-0.200019122233674,-0.235841380442255,-0.279696107770496,-0.312041520259288
