"","TIME_PERIOD","Global_CC_Cl_total","Global_CC_Fg_total","Avg_CC_Cl_total","Avg_CC_Fg_total","assortcoef_total.outout","assortcoef_total.outin","assortcoef_total.inout","assortcoef_total.inin","assortcoef_total.outout.1","assortcoef_total.outin.1","assortcoef_total.inout.1","assortcoef_total.inin.1","assortcoef_total.outout.2","assortcoef_total.outin.2","assortcoef_total.inout.2","assortcoef_total.inin.2","assortcoef_total.outout.3","assortcoef_total.outin.3","assortcoef_total.inout.3","assortcoef_total.inin.3","assortcoef_total.outout.4","assortcoef_total.outin.4","assortcoef_total.inout.4","assortcoef_total.inin.4","assortcoef_total.outout.5","assortcoef_total.outin.5","assortcoef_total.inout.5","assortcoef_total.inin.5","assortcoef_total.outout.6","assortcoef_total.outin.6","assortcoef_total.inout.6","assortcoef_total.inin.6","assortcoef_total.outout.7","assortcoef_total.outin.7","assortcoef_total.inout.7","assortcoef_total.inin.7","assortcoef_total.outout.8","assortcoef_total.outin.8","assortcoef_total.inout.8","assortcoef_total.inin.8","assortcoef_total.outout.9","assortcoef_total.outin.9","assortcoef_total.inout.9","assortcoef_total.inin.9","assortcoef_total.outout.10","assortcoef_total.outin.10","assortcoef_total.inout.10","assortcoef_total.inin.10","assortcoef_total.outout.11","assortcoef_total.outin.11","assortcoef_total.inout.11","assortcoef_total.inin.11","assortcoef_total.outout.12","assortcoef_total.outin.12","assortcoef_total.inout.12","assortcoef_total.inin.12","assortcoef_total.outout.13","assortcoef_total.outin.13","assortcoef_total.inout.13","assortcoef_total.inin.13","assortcoef_total.outout.14","assortcoef_total.outin.14","assortcoef_total.inout.14","assortcoef_total.inin.14","assortcoef_total.outout.15","assortcoef_total.outin.15","assortcoef_total.inout.15","assortcoef_total.inin.15","assortcoef_total.outout.16","assortcoef_total.outin.16","assortcoef_total.inout.16","assortcoef_total.inin.16","assortcoef_total.outout.17","assortcoef_total.outin.17","assortcoef_total.inout.17","assortcoef_total.inin.17","assortcoef_total.outout.18","assortcoef_total.outin.18","assortcoef_total.inout.18","assortcoef_total.inin.18","assortcoef_total.outout.19","assortcoef_total.outin.19","assortcoef_total.inout.19","assortcoef_total.inin.19","assortcoef_total.outout.20","assortcoef_total.outin.20","assortcoef_total.inout.20","assortcoef_total.inin.20","assortcoef_total.outout.21","assortcoef_total.outin.21","assortcoef_total.inout.21","assortcoef_total.inin.21","assortcoef_total.outout.22","assortcoef_total.outin.22","assortcoef_total.inout.22","assortcoef_total.inin.22","assortcoef_total.outout.23","assortcoef_total.outin.23","assortcoef_total.inout.23","assortcoef_total.inin.23"
"11",2010,0.97226735829073,0.965825588216668,0.97226735829073,0.965825588216668,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"12",2011,0.972226609386503,0.967312433815108,0.972226609386503,0.967312433815108,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"13",2012,0.973730983562869,0.96779972200327,0.973730983562869,0.96779972200327,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"14",2013,0.973505577212698,0.967189275554554,0.973505577212698,0.967189275554554,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"15",2014,0.973111657681223,0.965356952377424,0.973111657681223,0.965356952377424,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"16",2015,0.97395027259286,0.965910514037939,0.97395027259286,0.965910514037939,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"17",2016,0.975054393954481,0.968054585804351,0.975054393954481,0.968054585804351,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"18",2017,0.976325991681563,0.970055779846877,0.976325991681563,0.970055779846877,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"19",2018,0.976734323623224,0.970352921366767,0.976734323623224,0.970352921366767,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"20",2019,0.977212058593395,0.971326144396146,0.977212058593395,0.971326144396146,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"21",2020,0.975871586499834,0.96947883811158,0.975871586499834,0.96947883811158,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"22",2021,0.97700439315028,0.972860831274858,0.97700439315028,0.96947883811158,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
"23",2022,0.977720547262443,0.972816695687393,0.977720547262443,0.972816695687393,-0.095074764861847,-0.10436985829864,-0.128687106960979,-0.157381199245723,-0.0968890628913771,-0.103108697013402,-0.125820882326477,-0.152076570115968,-0.0938040145057448,-0.0935564936295531,-0.119202017213298,-0.147396870664409,-0.098889038093861,-0.0927058024925217,-0.115982868956092,-0.144523581506812,-0.0879343073054674,-0.0809493631618575,-0.105833406713916,-0.139758866035873,-0.0782004104086761,-0.0670660523861301,-0.0977510566077561,-0.132337244450021,-0.0837242295891499,-0.072018320889706,-0.0991838406074538,-0.127843448941946,-0.0922268920447859,-0.0762701552032584,-0.10237012381646,-0.125065267626086,-0.0883226561257803,-0.0764007188657738,-0.0979741611103446,-0.119636701197917,-0.084646581930963,-0.0703824294299414,-0.0935212032163034,-0.101607265499709,-0.0786607781211472,-0.0623770265044604,-0.0885902648213988,-0.0954739145480713,-0.0893212153370921,-0.0734456596238344,-0.095536487396234,-0.0996763676585042,-0.0846292703838487,-0.0633542584987023,-0.0881866126073714,-0.0873313790518885,-0.0930391612750039,-0.0663742116531903,-0.0928713156910031,-0.085411162020997,-0.0979974991451995,-0.0672353566620971,-0.0973556798906246,-0.0887880680848313,-0.0930449025654842,-0.0517998511439566,-0.0926817469863916,-0.0823145147696889,-0.0967890738978027,-0.0600576157152197,-0.0970987749409561,-0.0891574061456314,-0.0910866047502858,-0.0574493101546754,-0.0926471388714344,-0.0830483169123863,-0.103645104084386,-0.0683720885650931,-0.107701266215671,-0.092941313897963,-0.126814175213003,-0.0927972390436773,-0.130961155193021,-0.115799243443307,-0.129272113976898,-0.088732978841746,-0.129102486219852,-0.117039088711974,-0.134976643860061,-0.095687284818142,-0.134644372556482,-0.118502228141989,-0.130490726581962,-0.0976575997150993,-0.132913348767633,-0.119697876484593,-0.150058038953171,-0.121061403865066,-0.146613830430828,-0.134751922673499
